StartDeltaMS	LastScanDeltaMS	Left Actual Velocity [in/s]	Left Output Current	Right Actual Velocity [in/s]	Right Output Current	Chassis Acceleration [in/s/s]	Elevator: Target Position [in]	Elevator: Postion [in]	Elevator: Velocity [in/sec]	Elevator: AccelNu [in/sec^2]	Elevator: At Target Position?	Elevator: Scale Height Bump Amount:	State: Elevator	Infeed: Left Target Arm Position	Infeed: Right Target Arm Position	Infeed: L Position	Infeed: R Position:	Infeed: L/R Arms Homed?	State: Infeed	Carriage: LimitSwitch	Carriage: VBus Cmd	State: Carriage	Climber: Current	
0	0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	false / false	N/A for 2019	false	0.5	STOPPED	0.0	
23	21	0.19	0.0	0.0	0.12	9.37	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
37	14	0.32	0.0	0.0	0.12	3.13	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
63	26	0.0	0.0	0.0	0.12	-10.33	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
88	25	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
97	8	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
111	14	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
123	12	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
134	11	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
149	15	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
161	12	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
173	12	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
