StartDeltaMS	LastScanDeltaMS	Left Output Current	Right Output Current	Pose X	Pose Y	Pose Angle	Right Actual Velocity [in/s]	Left Actual Velocity [in/s]	Kallman X	Kallman Y	Kallman Theta	Kallman Vr	Kallman Vl	"Cov(X,X)"	"Cov(X,Y)"	"Cov(X,Theta)"	"Cov(X,Vr)"	"Cov(X,Vl)"	"Cov(Y,X)"	"Cov(Y,Y)"	"Cov(Y,Theta)"	"Cov(Y,Vr)"	"Cov(Y,Vl)"	"Cov(Theta,X)"	"Cov(Theta,Y)"	"Cov(Theta,Theta)"	"Cov(Theta,Vr)"	"Cov(Theta,Vl)"	"Cov(Vr,X)"	"Cov(Vr,Y)"	"Cov(Vr,Theta)"	"Cov(Vr,Vr)"	"Cov(Vr,Vl)"	"Cov(Vl,X)"	"Cov(Vl,Y)"	"Cov(Vl,Theta)"	"Cov(Vl,Vr)"	"Cov(Vl,Vl)"	Elevator: Target Position [in]	Elevator: Postion [in]	Elevator: Velocity [in/sec]	Elevator: AccelNu [in/sec^2]	Elevator: At Target Position?	Elevator: Scale Height Bump Amount:	State: Elevator	Infeed: Left Target Arm Position	Infeed: Right Target Arm Position	Infeed: L Position	Infeed: R Position:	Infeed: L/R Arms Homed?	State: Infeed	Carriage: LimitSwitch	Carriage: VBus Cmd	State: Carriage	Climber: Current
0	0	0	0.12	20	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	0	N/A in 2019	0	0	0.090909091	4.545454545	false / false	N/A for 2019	FALSE	0.5	STOPPED	0
69	68	0.88	1.12	20.03231312	46	0	0.51	0.7	20.032	46	0	-0.831	0.895	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
95	26	0.5	0.62	20.05726781	46	0	0.06	0.06	20.057	46	0.026	-0.042	0.239	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.009	0	0	0	0	0	0.009	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
120	24	0	0.12	20.0601472	46	0	0.19	0	20.06	46	0.009	-0.107	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
145	25	0	0.12	20.06046713	46	0	0.06	0	20.06	46	0.004	0	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
188	42	0	0.12	20.05886747	46	0	-0.32	-0.06	20.059	46	0.001	0.052	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0.125
222	33	0	0.12	20.04255094	46	0	-0.45	-0.26	20.043	46	0	0.473	-0.167	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
256	34	0	0.12	20.03519251	46	0	-0.13	-0.19	20.035	46	-0.008	0.168	-0.143	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
299	43	0	0.12	20.03487258	46	0	0	0	20.035	46	-0.006	0.077	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
333	34	0	0.12	20.03487258	46	0	0	0	20.035	46	-0.001	0.076	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
388	55	0	0.12	20.03487258	46	0	0	0	20.035	46	0	0.105	0.105	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
446	57	3.5	8	20.03487258	46	0	3.84	0.06	20.035	46	0	0.083	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.009	0	0	0	0	0	0.009	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
487	41	28.25	8	20.15356731	45.99998964	-0.01	-3.39	1.47	20.153	46	-0.009	1.869	3.54	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.009	0	0	0	0	0	0.009	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
523	36	11.62	0.12	20.13341161	45.99997381	0.100000001	-0.13	0.83	20.137	46	0.103	0.593	0.381	0.001	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
563	40	23.25	10.62	20.37336026	46.00032978	0.07	12.09	11.01	20.364	46	0.073	-5.613	3.619	0.001	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
592	29	28	7	20.54004443	46.00066434	0.159999996	-0.7	1.47	20.535	46.001	0.274	-1.053	5.162	0.001	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
622	29	12.5	0.12	20.55284161	46.00071124	0.25999999	0.26	1.28	20.555	46.001	0.341	-0.006	-0.21	0.002	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0.008	0	0	0	0	0	0.008	0	0	0	0	TRUE	0	N/A in 2019	0	0	0	4.545454545	true / false	N/A for 2019	FALSE	0.5	STOPPED	0
