StartDeltaMS	LastScanDeltaMS	Left Output Current	Right Output Current	Pose X	Pose Y	Pose Angle	Right Actual Velocity [in/s]	Left Actual Velocity [in/s]	kalman X	kalman Y	kalman Theta	kalman Vr	kalman Vl	Cov(X,X)	Cov(X,Y)	Cov(X,Theta)	Cov(X,Vr)	Cov(X,Vl)	Cov(Y,X)	Cov(Y,Y)	Cov(Y,Theta)	Cov(Y,Vr)	Cov(Y,Vl)	Cov(Theta,X)	Cov(Theta,Y)	Cov(Theta,Theta)	Cov(Theta,Vr)	Cov(Theta,Vl)	Cov(Vr,X)	Cov(Vr,Y)	Cov(Vr,Theta)	Cov(Vr,Vr)	Cov(Vr,Vl)	Cov(Vl,X)	Cov(Vl,Y)	Cov(Vl,Theta)	Cov(Vl,Vr)	Cov(Vl,Vl)	Elevator: Target Position [in]	Elevator: Postion [in]	Elevator: Velocity [in/sec]	Elevator: AccelNu [in/sec^2]	Elevator: At Target Position?	Elevator: Scale Height Bump Amount:	State: Elevator	Infeed: Left Target Arm Position	Infeed: Right Target Arm Position	Infeed: L Position	Infeed: R Position:	Infeed: L/R Arms Homed?	State: Infeed	Carriage: LimitSwitch	Carriage: VBus Cmd	State: Carriage	Climber: Current	
0	0	0.0	0.12	20.0	46.0	0.0	0.19	0.19	46	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	-4.7272727272727275	-11.272727272727273	false / false	N/A for 2019	false	0.5	STOPPED	0.0	
82	81	0.75	1.62	20.100138682810567	46.0	0.0	1.86	2.69	20.1	46.0	0.0	-2.877	3.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	-6.2727272727272725	-11.272727272727273	false / false	N/A for 2019	false	0.5	STOPPED	0.0	
119	37	4.38	5.12	20.372400724573478	46.0	0.0	6.27	6.01	20.372	46.0	0.113	-4.682	5.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	-11.272727272727273	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
157	37	10.62	11.25	20.596353049210908	46.000019543526726	0.009999999776482582	9.6	9.92	20.596	46.0	0.178	-5.334	6.239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	-11.454545454545455	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
278	120	11.88	15.88	21.124240430364928	46.00048021230314	0.0900000035762787	28.09	26.49	21.121	46.0	0.297	-12.801	11.722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	-14.181818181818182	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
320	41	10.38	13.75	23.860616488510054	46.00310694563298	0.01999999955296517	33.34	31.61	23.869	46.003	0.59	-28.755	28.796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	-15.090909090909092	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
358	38	14.38	18.12	25.356937903399874	46.002976366958706	-0.029999999329447753	37.11	37.5	25.369	46.003	1.061	-31.336	30.971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
401	43	20.38	23.62	26.69393286063756	46.00192629338238	-0.0599999986588955	48.44	47.48	26.712	46.002	1.143	-37.026	32.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
430	28	19.38	21.75	28.523300801920666	45.99889308378876	-0.12999999523162842	55.8	51.32	28.585	45.999	1.329	-45.334	41.198	-0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
462	32	13.25	16.5	30.03145524017723	45.99520795995862	-0.15000000596046448	55.28	55.16	30.135	45.995	1.531	-46.27	43.432	-0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
