StartDeltaMS	LastScanDeltaMS	Left Output Current	Right Output Current	Pose X	Pose Y	Pose Angle	Right Actual Velocity [in/s]	Left Actual Velocity [in/s]	kalman X	kalman Y	kalman Theta	kalman Vr	kalman Vl	Cov(X,X)	Cov(X,Y)	Cov(X,Theta)	Cov(X,Vr)	Cov(X,Vl)	Cov(Y,X)	Cov(Y,Y)	Cov(Y,Theta)	Cov(Y,Vr)	Cov(Y,Vl)	Cov(Theta,X)	Cov(Theta,Y)	Cov(Theta,Theta)	Cov(Theta,Vr)	Cov(Theta,Vl)	Cov(Vr,X)	Cov(Vr,Y)	Cov(Vr,Theta)	Cov(Vr,Vr)	Cov(Vr,Vl)	Cov(Vl,X)	Cov(Vl,Y)	Cov(Vl,Theta)	Cov(Vl,Vr)	Cov(Vl,Vl)	Elevator: Target Position [in]	Elevator: Postion [in]	Elevator: Velocity [in/sec]	Elevator: AccelNu [in/sec^2]	Elevator: At Target Position?	Elevator: Scale Height Bump Amount:	State: Elevator	Infeed: Left Target Arm Position	Infeed: Right Target Arm Position	Infeed: L Position	Infeed: R Position:	Infeed: L/R Arms Homed?	State: Infeed	Carriage: LimitSwitch	Carriage: VBus Cmd	State: Carriage	Climber: Current	
0	0	0.0	0.38	20.0	46.0	0.0	0.0	0.19	20	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	1.3636363636363635	4.181818181818182	false / false	N/A for 2019	false	0.5	STOPPED	0.0	
97	96	1.88	3.25	20.2767410882784	46.0	0.0	3.71	2.5	20.277	46.0	0.0	-7.676	6.781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	4.181818181818182	false / false	N/A for 2019	false	0.5	STOPPED	0.0	
133	36	3.5	6.12	20.559560859568283	45.99990127727422	-0.03999999910593034	5.89	6.53	20.561	46.0	0.505	-4.649	4.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	4.181818181818182	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
166	32	8.75	11.12	20.856137585241587	45.99961658396921	-0.07000000029802321	9.66	10.75	20.859	46.0	0.361	-7.852	6.307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	3.909090909090909	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
253	86	15.0	19.62	21.388823060945217	45.99854741427443	-0.1599999964237213	22.91	20.8	21.399	45.999	0.39	-13.892	11.998	-0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	2.1818181818181817	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
325	71	8.75	9.25	23.78316957805241	45.988100040433956	-0.34000000357627874	34.49	33.27	23.823	45.988	0.902	-29.577	28.804	-0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	-0.2727272727272727	true / false	N/A for 2019	false	0.5	STOPPED	0.0	
377	51	14.62	14.25	25.721922719562226	45.97659511252972	-0.34000000357627874	40.31	39.35	25.783	45.977	1.912	-33.068	32.599	-0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
440	62	17.25	20.12	27.681788924636727	45.96462282194395	-0.36000001430511486	45.24	44.98	27.771	45.965	2.244	-36.815	37.324	-0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
511	70	11.38	13.88	31.316090727901585	45.93480980304594	-0.5799999833106996	60.28	68.72	31.397	45.935	2.939	-51.889	49.913	-0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
544	32	12.38	12.62	34.09069467409391	45.90454236857981	-0.6700000166893005	65.59	61.75	34.21	45.904	3.637	-56.925	55.28	-0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	true	0.0	N/A in 2019	0.0	0.0	0.0	0.0	true / true	N/A for 2019	false	0.5	STOPPED	0.0	
